
Year,Winner,Height,Opponent,Height
2008,Barack Obama,6 ft 1 in 185 cm,John McCain,5 ft 9 in 175 cm
2004, George W. Bush,5 ft 11.5 in 182 cm,John Kerry,6 ft 4 in 193 cm
2000, George W. Bush,5 ft 11.5 in 182 cm,Al Gore,6 ft 1 in 185 cm
1996, Bill Clinton,6 ft 2 in 188 cm,Bob Dole,6 ft 1.5 in 187 cm
1992, Bill Clinton,6 ft 2 in 188 cm,George H.W. Bush,6 ft 2 in 188 cm
1988, George H.W. Bush,6 ft 2 in 188 cm,Michael Dukakis,5 ft 8 in 173 cm
1984, Ronald Reagan,6 ft 1 in 185 cm,Walter Mondale,5 ft 11 in 180 cm
1980, Ronald Reagan,6 ft 1 in 185 cm,Jimmy Carter,5 ft 9.5 in 177 cm
1976, Jimmy Carter,5 ft 9.5 in 177 cm,Gerald Ford,6 ft 0 in 183 cm
1972, Richard Nixon,5 ft 11.5 in 182 cm,George McGovern,6 ft 1 in 185 cm
1968, Richard Nixon,5 ft 11.5 in 182 cm,Hubert Humphrey,5 ft 11 in 180 cm
1964, Lyndon B. Johnson,6 ft 4 in 193 cm,Barry Goldwater,5 ft 11 in 180 cm
1960, John F. Kennedy,6 ft 0 in 183 cm,Richard Nixon,5 ft 11.5 in 182 cm
1956, Dwight D. Eisenhower,5 ft 10.5 in 179 cm,Adlai Stevenson,5 ft 10 in 178 cm
1952, Dwight D. Eisenhower,5 ft 10.5 in 179 cm,Adlai Stevenson,5 ft 10 in 178 cm
1948, Harry S. Truman,5 ft 9 in 175 cm,Thomas Dewey,5 ft 8 in 173 cm
